"Una gran corporación exige que el análisis de requisitos y el diseño de la interfaz estén cerrados y aprobados antes de escribir código. Una vez aprobados, el equipo desarrolla y prueba en sprints de dos semanas. ¿Qué modelo describe esta situación?";"Scrummerfall";"Scrumban";"SAFe";"Mini-waterfall dentro del sprint"
"Una app de partes de trabajo funciona bien con Wi-Fi, pero con una raya de cobertura se queda cargando sin fin y, si la conexión se corta, el técnico pierde el formulario que estaba rellenando. ¿Qué principio se ha ignorado principalmente?";"La mentalidad offline-first";"El principio de mínimo privilegio";"El diseño de interfaces adaptables";"La optimización del tamaño de descarga"
"¿Qué afirmación sobre la arquitectura ARM es correcta según los apuntes?";"Domina en móviles, pero ya también está en portátiles y en los Mac";"Es exclusiva de móviles; los portátiles y los Mac usan x86/x64";"Usa un juego de instrucciones complejo (CISC), a diferencia de x86";"Obliga a escribir el código Kotlin de forma distinta que en x86"
"Un alumno crea en Android Studio un emulador cuya imagen del sistema tiene una arquitectura distinta a la de su ordenador, y va extremadamente lento. ¿Cuál es la causa?";"Hay emulación por software porque no coincide la arquitectura";"El código Kotlin se recompila entero cada vez que se abre la app";"Esa imagen incluye servicios de Google que consumen más memoria";"Android Studio limita la CPU de las imágenes que no elige él"
"Una aplicación construida con HTML, CSS y JavaScript, empaquetada en un contenedor instalable con una capa nativa que le da acceso a las funciones del dispositivo, se clasifica como:";"Híbrida";"Nativa";"Multiplataforma con motor gráfico propio";"Aplicación web progresiva (PWA)"
"¿Cómo consigue Flutter que la interfaz de una app se vea prácticamente idéntica en Android y en iOS?";"Pinta cada píxel de la interfaz con su propio motor gráfico";"Traduce sus widgets a los componentes nativos de cada sistema";"Muestra la interfaz como una página web dentro de un WebView";"Usa en los dos sistemas los componentes del toolkit de Android"
"Según los apuntes, ¿cuál es con diferencia el uso más extendido de Kotlin Multiplatform?";"Compartir la lógica y escribir la interfaz nativa en cada plataforma";"Compartir lógica e interfaz con Compose Multiplatform en todas partes";"Compartir la interfaz en Compose y escribir la lógica por separado";"Compartir el código Kotlin dentro de un WebView común a las dos apps"
"Una app de linterna solicita acceso a tus contactos, tu calendario y tu ubicación. ¿Qué principio de seguridad incumple de forma más evidente?";"El principio de mínimo privilegio";"El cifrado de la información sensible";"El uso de HTTPS en las comunicaciones";"El aislamiento entre apps del sandbox"
"Una marca de cosméticos sin presencia web conocida lanza una PWA. ¿Cuál será su principal problema para conseguir usuarios nuevos?";"No aparecerá a quien busque apps de cosmética en la tienda";"Cada actualización tendrá que pasar la revisión de la tienda";"No podrá tener su propio icono en la pantalla del móvil";"No podrá abrirse en una ventana independiente del navegador"
"Además de diseñar interfaces adaptables, ¿qué recomiendan los apuntes para lidiar con la fragmentación de Android?";"Comprobar la versión del SO antes de usar una función concreta";"Bloquear la rotación para que la app se vea igual en tablets";"Publicar un paquete distinto para cada fabricante de móviles";"Fijar como versión mínima la última versión de Android"
"Un equipo desarrolla una app de edición de vídeo en tiempo real solo para Android. Necesita el máximo rendimiento y usar las nuevas APIs de cámara el mismo día que salgan. ¿Qué estrategia es la más adecuada?";"Nativo";"Flutter";"React Native";"Ionic + Capacitor"
"En una app hecha con Ionic + Capacitor, ¿qué permite que el código web use la cámara o el GPS?";"Los plugins nativos que aporta Capacitor";"Los componentes de interfaz que aporta Ionic";"El Web App Manifest incluido en la aplicación";"El service worker que registra la aplicación"
"¿Qué describe mejor a Scrumban?";"Roles y reuniones de Scrum con flujo continuo en un tablero, sin sprints fijos";"Análisis y diseño cerrados al estilo Cascada, seguidos de desarrollo en sprints";"Scrum aplicado a decenas de equipos, con incrementos planificados de semanas";"Sprints en los que se repiten dentro el análisis, el código y las pruebas"
"Una empresa tiene su app Android en Jetpack Compose y su app iOS en UIKit. Quiere escribir una sola vez las pantallas nuevas para ambas plataformas, sin reescribir lo que ya funciona, y su equipo domina Kotlin y Compose. ¿Qué es lo mejor?";"Introducir Compose Multiplatform poco a poco";"Kotlin Multiplatform compartiendo solo la lógica";"Reescribir las dos apps en Flutter desde cero";"Añadir React Native para las pantallas nuevas"
"¿Qué relación hay entre Agile y Scrum?";"Agile son valores y principios; Scrum, un marco que los aplica";"Scrum son valores y principios; Agile, un marco que los aplica";"Son sinónimos: Agile es el nombre genérico que recibe Scrum";"Agile es la versión de Scrum pensada para equipos grandes"
"Según los apuntes, ¿qué cambia realmente entre Cascada y Scrum, si ambos pasan por análisis, diseño, desarrollo y pruebas?";"El orden y el tamaño del lote: en Scrum, el lote es el sprint";"Las etapas: Scrum elimina el análisis y el diseño del proceso";"El cliente: en Scrum no participa hasta la entrega final";"El contrato: Scrum fija alcance y precio antes de empezar"
